Price,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc,Price(million/m_square),District,City
4.05,40,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,101.25,Quận Tân Phú, Thành phố Hồ Chí Minh
8.7,80,Ngõ ô tô đỗ cửa,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,108.75,Quận 7, Thành phố Hồ Chí Minh
13.7,108,Mặt phố - Mặt đường,4.3,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,126.85,Quận Gò Vấp, Thành phố Hồ Chí Minh
9,70,Ngõ 1 ô tô,6.3,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,128.57,Quận Cầu Giấy, Thành phố Hà Nội
5.8,61,Ngõ 1 ô tô,5,,Nhà môi giới,Nhà ở,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,95.08,Quận Tây Hồ, Thành phố Hà Nội
32,160,Mặt phố - Mặt đường,6.2,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,200,Quận Thanh Xuân, Thành phố Hà Nội
6.96,103.3,Mặt phố - Mặt đường,,Tây Nam,Nhà môi giới,Chung cư,16,2,3,Hợp đồng mua bán,67.35,Quận Đống Đa, Thành phố Hà Nội
3.3,34,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,97.06,Quận Tây Hồ, Thành phố Hà Nội
15,188,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,79.79,Quận Gò Vấp, Thành phố Hồ Chí Minh
13.6,60,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,226.67,Quận Cầu Giấy, Thành phố Hà Nội
3.3,40,Ngõ 1 ô tô,,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,82.5,Quận Nam Từ Liêm, Thành phố Hà Nội
5.5,40,Ngõ 2 ô tô tránh,4.5,,Chính chủ,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,137.5,Quận Đống Đa, Thành phố Hà Nội
4.5,45,Ngõ 1 ô tô,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,100,Quận Đống Đa, Thành phố Hà Nội
3,80,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,37.5,Quận Bắc Từ Liêm, Thành phố Hà Nội
21.5,126,Mặt phố - Mặt đường,,Đông Bắc,Nhà môi giới,Biệt thự,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,170.63,Quận Tây Hồ, Thành phố Hà Nội
7,85,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,82.35,Huyện Gia Lâm, Thành phố Hà Nội
5.1,100,Mặt phố - Mặt đường,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,51,Thị xã Dĩ An, Tỉnh Bình Dương
10.5,65,Ngõ 2 ô tô tránh,,,Chính chủ,Nhà ở,,,8,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,161.54,Quận Long Biên, Thành phố Hà Nội
10.3,45,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,228.89,Quận Cầu Giấy, Thành phố Hà Nội
6.8,75,Ngõ 2 ô tô tránh,10,,Nhà môi giới,Nhà ở,1,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,90.67,Quận Tân Bình, Thành phố Hồ Chí Minh
6.39,29,Ngõ ô tô đỗ cửa,3.3,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,220.34,Quận 1, Thành phố Hồ Chí Minh
1.6,121,Ngõ 2 ô tô tránh,,Tây Bắc,Nhà môi giới,Chung cư,6,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.22,Quận Hà Đông, Thành phố Hà Nội
5,87,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,57.47,Quận Tân Phú, Thành phố Hồ Chí Minh
16.6,82,Ngõ 1 ô tô,4.3,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,202.44,Quận 3, Thành phố Hồ Chí Minh
31.8,111.6,Mặt phố - Mặt đường,5.1,Tây Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,284.95,Quận Tân Bình, Thành phố Hồ Chí Minh
1.8,50,Ngõ ngách,4.2,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,36,Huyện Hoài Đức, Thành phố Hà Nội
4.7,50,Mặt phố - Mặt đường,4,Tây Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,94,Quận Hà Đông, Thành phố Hà Nội
5,900,Mặt phố - Mặt đường,17,,Chính chủ,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,5.56,Huyện Dương Minh Châu, Tỉnh Tây Ninh
2.4,55,Ngõ 1 ô tô,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,43.64,Quận Bình Tân, Thành phố Hồ Chí Minh
5.5,22,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,2,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,250,Quận Cầu Giấy, Thành phố Hà Nội
3.45,39,Ngõ ngách,4,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,88.46,Quận Đống Đa, Thành phố Hà Nội
4.88,65,Mặt phố - Mặt đường,5,Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,75,Quận Long Biên, Thành phố Hà Nội
0.55,250,Ngõ 3 ô tô tránh,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,2.2,Huyện Đồng Phú, Tỉnh Bình Phước
2.5,77,Mặt phố - Mặt đường,,,Chủ đầu tư,Biệt thự - Song lập - Đơn lập,,,,,32.47,Thành phố Quy Nhơn, Tỉnh Bình Định
3.9,33,Ngõ ngách,6,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,118.18,Quận Thanh Xuân, Thành phố Hà Nội
3.6,125,Ngõ 1 ô tô,5,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",28.8,Huyện An Dương, Thành phố Hải Phòng
1.7,115,Ngõ 2 ô tô tránh,,,Nhà môi giới,Chung cư,,2,3,Hợp đồng mua bán,14.78,Quận Hà Đông, Thành phố Hà Nội
2.5,67.8,,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,36.87,Quận Bắc Từ Liêm, Thành phố Hà Nội
5,86,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,58.14,Quận Tân Phú, Thành phố Hồ Chí Minh
2.9,90,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,32.22,Thị xã Tân Uyên, Tỉnh Bình Dương
1.05,60.1,Ngõ 2 ô tô tránh,,Tây,Nhà môi giới,Chung cư,,1,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,17.47,Quận Hà Đông, Thành phố Hà Nội
1.7,55,Mặt phố - Mặt đường,5,,Nhà môi giới,Chung cư,,,1,Hợp đồng mua bán,30.91,Thị xã Thuận An, Tỉnh Bình Dương
15.9,50,Mặt phố - Mặt đường,4.6,,Nhà môi giới,Nhà ở,4,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,318,Quận Ba Đình, Thành phố Hà Nội
0.75,250,Mặt phố - Mặt đường,5,"Đông Tứ Trạch, Tây Tứ Trạch",Chủ đầu tư,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,3,Huyện Đồng Phú, Tỉnh Bình Phước
0.88,80,Mặt phố - Mặt đường,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,11,Huyện Bàu Bàng, Tỉnh Bình Dương
17.6,110,Ngõ ô tô đỗ cửa,6,,Nhà môi giới,Nhà ở,,27,27,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,160,Quận Cầu Giấy, Thành phố Hà Nội
1.5,68,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,22,Thành phố Quy Nhơn, Tỉnh Bình Định
2.35,30,Ngõ 1 ô tô,5,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,78.33,Quận Hà Đông, Thành phố Hà Nội
1.4,40,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,35,Quận Bình Tân, Thành phố Hồ Chí Minh
3.95,43,Ngõ ngách,10,,Nhà môi giới,Nhà ở,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,91.86,Quận Đống Đa, Thành phố Hà Nội
5.4,54,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,4,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,100,Quận Thanh Xuân, Thành phố Hà Nội
28,60,Mặt phố - Mặt đường,5,,Khách vãng lai,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,466.67,Quận Hoàn Kiếm, Thành phố Hà Nội
2.2,80,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,27.5,Huyện Bình Chánh, Thành phố Hồ Chí Minh
5.5,81,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,67.9,Quận Tân Phú, Thành phố Hồ Chí Minh
3.25,32,Ngõ ô tô đỗ cửa,,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,101.56,Quận Hai Bà Trưng, Thành phố Hà Nội
1.5,500,Mặt phố - Mặt đường,10,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,3,Huyện Củ Chi, Thành phố Hồ Chí Minh
7,69,Ngõ ô tô đỗ cửa,5.2,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,101.45,Quận Thanh Xuân, Thành phố Hà Nội
1.49,135,Mặt phố - Mặt đường,20,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,11.04,Huyện Đồng Phú, Tỉnh Bình Phước
35.9,184,Mặt phố - Mặt đường,,"Tây Nam, Tây Bắc",Chính chủ,Biệt thự,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,195.11,Quận Tây Hồ, Thành phố Hà Nội
3.25,37,Ngõ ngách,,Tây Nam,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,87.84,Quận Thủ Đức, Thành phố Hồ Chí Minh
5.6,86,Ngõ ô tô đỗ cửa,5.4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,65.12,Quận Long Biên, Thành phố Hà Nội
0.9,53,Ngõ ô tô đỗ cửa,6,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,16.98,Huyện Gia Lâm, Thành phố Hà Nội
4.85,45,Ngõ 2 ô tô tránh,,,Nhà môi giới,Nhà ở,,,4,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",107.78,Quận Cầu Giấy, Thành phố Hà Nội
5.6,80,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,70,Quận Tân Phú, Thành phố Hồ Chí Minh
3.4,70,Mặt phố - Mặt đường,5,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,48.57,Huyện Bến Lức, Tỉnh Long An
1.28,22,Ngõ ngách,,Tây Nam,Nhà môi giới,Nhà ở,,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,58.18,Quận Lê Chân, Thành phố Hải Phòng
5.2,80,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,65,Quận Bình Tân, Thành phố Hồ Chí Minh
5.4,47,Ngõ ô tô đỗ cửa,5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,114.89,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.8,28,Ngõ ngách,3,Đông Nam,Nhà môi giới,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,100,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
5.1,94.5,Mặt phố - Mặt đường,5,Đông Bắc,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Hợp đồng mua bán,53.97,Huyện Hoài Đức, Thành phố Hà Nội
2.75,74,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,37.16,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2.63,83,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,31.69,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
1.95,40,Ngõ ngách,,Đông Bắc,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,48.75,Quận Ngô Quyền, Thành phố Hải Phòng
4.2,100,Mặt phố - Mặt đường,5,Tây Nam,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Hợp đồng góp vốn,42,Huyện Hoài Đức, Thành phố Hà Nội
5.67,79,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,71.77,Quận Tân Phú, Thành phố Hồ Chí Minh
5.2,80,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,65,Quận Tây Hồ, Thành phố Hà Nội
3.7,73,Mặt phố - Mặt đường,,,Chính chủ,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,50.68,Quận 2, Thành phố Hồ Chí Minh
1.76,69,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,25.51,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
3.6,45,Ngõ ngách,2.9,Đông Bắc,Nhà môi giới,Nhà ở,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,80,Quận Thủ Đức, Thành phố Hồ Chí Minh
5.7,59,Ngõ 2 ô tô tránh,3.5,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,96.61,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
8.8,45,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,195.56,Quận Đống Đa, Thành phố Hà Nội
6.2,57,Ngõ ô tô đỗ cửa,4,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,108.77,Quận Gò Vấp, Thành phố Hồ Chí Minh
1.79,60,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,29.83,Quận Ninh Kiều, Thành phố Cần Thơ
8.6,110,Mặt phố - Mặt đường,,,Sàn bất động sản,Biệt thự - Song lập - Đơn lập,,,,,78.18,Thị xã Điện Bàn, Tỉnh Quảng Nam
6.5,50,Ngõ 2 ô tô tránh,5,,Nhà môi giới,Nhà ở,,,,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",130,Quận Hà Đông, Thành phố Hà Nội
1.25,100,Mặt phố - Mặt đường,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,12.5,Huyện Nhơn Trạch, Tỉnh Đồng Nai
3.85,46,Ngõ ngách,,,Nhà môi giới,Nhà ở,,2,3,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",83.7,Quận Cầu Giấy, Thành phố Hà Nội
5.46,78,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,70,Quận Tân Phú, Thành phố Hồ Chí Minh
1.3,77,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,16.88,Huyện Hoài Đức, Thành phố Hà Nội
5.6,40,Ngõ 2 ô tô tránh,3.2,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,140,Quận Hà Đông, Thành phố Hà Nội
6.8,38,Ngõ 2 ô tô tránh,4,,Nhà môi giới,Nhà ở,4,4,3,,178.95,Quận Hà Đông, Thành phố Hà Nội
2,6000,Ngõ 3 ô tô tránh,52,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Đất giao - Đất phân,0.00033333,Huyện Đơn Dương, Tỉnh Lâm Đồng
5.2,50,Ngõ ô tô đỗ cửa,4,Tây Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,104,Quận Hà Đông, Thành phố Hà Nội
9.9,56,Ngõ 2 ô tô tránh,7,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,176.79,Quận Đống Đa, Thành phố Hà Nội
6.65,102,Ngõ 1 ô tô,5.1,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,65.2,Quận Tân Bình, Thành phố Hồ Chí Minh
22.7,106,Ngõ ô tô đỗ cửa,8,,Nhà môi giới,Nhà ở,,,7,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,214.15,Quận Cầu Giấy, Thành phố Hà Nội
2.73,34,,,Đông Nam,Nhà môi giới,Nhà ở,,4,8,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,80.29,Quận Hà Đông, Thành phố Hà Nội
36.5,150,Mặt phố - Mặt đường,,,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,243.33,Quận Tây Hồ, Thành phố Hà Nội
3.9,40,Ngõ ngách,,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,97.5,Quận Ba Đình, Thành phố Hà Nội
3.8,440,Mặt phố - Mặt đường,10,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,8.64,Huyện Đức Hòa, Tỉnh Long An
2.1,52.4,Ngõ ngách,3.7,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,40,Huyện Hoài Đức, Thành phố Hà Nội
17,237,Mặt phố - Mặt đường,8.4,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,71.73,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
9.3,76.5,Mặt phố - Mặt đường,4.2,Đông Nam,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,121.57,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
2,55,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,36.36,Quận Nam Từ Liêm, Thành phố Hà Nội
9.8,68.5,Mặt phố - Mặt đường,4,Đông Nam,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,143.07,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
7.77,129.5,Ngõ 1 ô tô,,Đông Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,60,Huyện Gia Lâm, Thành phố Hà Nội
2.2,55,,,,Nhà môi giới,Chung cư,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,40,Quận Nam Từ Liêm, Thành phố Hà Nội
1.98,57.3,Ngõ ngách,4,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,34.47,Huyện Đông Anh, Thành phố Hà Nội
10.5,51,Ngõ ô tô đỗ cửa,4.2,,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,205.88,Quận Cầu Giấy, Thành phố Hà Nội
15.5,128,Mặt phố - Mặt đường,7.5,Tây Bắc,Nhà môi giới,Nhà ở,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,121.09,Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu
10.5,51,Ngõ ô tô đỗ cửa,,,Quảng cáo,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,205.88,Quận Hai Bà Trưng, Thành phố Hà Nội
1.23,413,Mặt phố - Mặt đường,15,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,2.97,Huyện Long Hồ, Tỉnh Vĩnh Long
0.59,250,Ngõ 3 ô tô tránh,5,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,2.36,Huyện Đồng Phú, Tỉnh Bình Phước
1.3,64,Mặt phố - Mặt đường,,,Nhà môi giới,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,20.31,Huyện Hoài Đức, Thành phố Hà Nội
1.8,300,Mặt phố - Mặt đường,,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,6,Thị xã Bến Cát, Tỉnh Bình Dương
3.7,56,Ngõ ngách,,,Khách vãng lai,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,66.07,Quận Hoàng Mai, Thành phố Hà Nội
4.95,90,Mặt phố - Mặt đường,4.5,,Nhà môi giới,Nhà ở,,,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,55,Thành phố Biên Hòa, Tỉnh Đồng Nai
1.76,112.5,Mặt phố - Mặt đường,5,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,15.64,Huyện Thạnh Phú, Tỉnh Bến Tre
11,108,Mặt phố - Mặt đường,,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,101.85,Huyện Đông Anh, Thành phố Hà Nội
31,140,Mặt phố - Mặt đường,7,,Nhà môi giới,Biệt thự,,,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,221.43,Quận Tây Hồ, Thành phố Hà Nội
2.38,500,Mặt phố - Mặt đường,,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,4.76,Huyện Bảo Lâm, Tỉnh Lâm Đồng
0.55,429,Mặt phố - Mặt đường,13,,Chính chủ,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,1.28,Huyện Dương Minh Châu, Tỉnh Tây Ninh
8.3,55,Ngõ 2 ô tô tránh,4,,Nhà môi giới,Nhà ở,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,150.91,Quận Hoàng Mai, Thành phố Hà Nội
1,107.5,Ngõ 2 ô tô tránh,5,Đông,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,9.3,Huyện Kiến Thụy, Thành phố Hải Phòng
3.5,41,Ngõ 2 ô tô tránh,4,,Nhà môi giới,Nhà ở,,,4,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",85.37,Quận Hai Bà Trưng, Thành phố Hà Nội
4.2,30,Ngõ 1 ô tô,4,,Nhà môi giới,Nhà ở,,,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,140,Quận Hoàng Mai, Thành phố Hà Nội
0.65,50,,,,Chính chủ,Chung cư,,,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13,Quận Thanh Xuân, Thành phố Hà Nội
1.05,125,Ngõ 3 ô tô tránh,5,,Nhà môi giới,Đất - Đất nền - Nhà như đất,,,,,8.4,Thị xã Điện Bàn, Tỉnh Quảng Nam
5.4,40,Ngõ 2 ô tô tránh,6,,Nhà môi giới,Nhà ở,,3,3,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán",135,Quận Ba Đình, Thành phố Hà Nội
31,140,,,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,221.43,Quận Tây Hồ, Thành phố Hà Nội
13.7,76,Mặt phố - Mặt đường,4,,Nhà môi giới,Nhà ở,,,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,180.26,Quận Tân Phú, Thành phố Hồ Chí Minh
23,116,Ngõ 2 ô tô tránh,,,Nhà môi giới,Biệt thự,,,,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,198.28,Quận Bắc Từ Liêm, Thành phố Hà Nội
0.83,60,Mặt phố - Mặt đường,6,,Nhà môi giới,Chung cư,,,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,13.83,Thị xã Thuận An, Tỉnh Bình Dương
1.3,77,,,,Chính chủ,Chung cư,,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng,16.88,Quận Nam Từ Liêm, Thành phố Hà Nội
