Price,Location,Area,Street,Facade,Direction,Saler,Type,Floor,Bathrooms,Bedrooms,Legal Doc
3.9 Tỷ - 111.43 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",35 m²,Ngõ ngách,6m,---,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.9 Tỷ - 38.67 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",75 m²,Ngõ 2 ô tô tránh,---,---,Sàn bất động sản,"Toà nhà văn phòng, Sàn văn phòng, Mặt bằng thương mại",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.5 Tỷ - 17.86 Triệu/m²,"Thành phố Sóc Trăng, Tỉnh Sóc Trăng",140 m²,---,---,---,Chính chủ,Nhà ở,---,---,---,---
2.17 Tỷ - 43.4 Triệu/m²,"Quận Thanh Khê, Thành phố Đà Nẵng",50 m²,Ngõ ngách,5m,Tây Nam,Nhà môi giới,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
48 Tỷ - 1.6 Triệu/m²,"Thị xã Mỹ Hào, Tỉnh Hưng Yên","30,000 m²",Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Kho bãi - Nhà xưởng, Khu công nghiệp",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.59 Tỷ - 24.09 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",66 m²,---,---,Đông,Nhà môi giới,Chung cư,---,1,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.2 Tỷ - 1.2 Triệu/m²,"Thành phố Đồng Xoài, Tỉnh Bình Phước","1,000 m²",Mặt phố - Mặt đường,20m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Thị xã Thuận An, Tỉnh Bình Dương",70 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Chung cư,---,---,2,---
Thương lượng,"Thị xã Thuận An, Tỉnh Bình Dương",70 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Chung cư,---,---,2,---
3.6 Tỷ - 72 Triệu/m²,"Quận Hải Châu, Thành phố Đà Nẵng",50 m²,Ngõ 1 ô tô,---,Tây Bắc,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.1 Tỷ - 44.29 Triệu/m²,"Huyện Kim Bảng, Tỉnh Hà Nam",70 m²,Mặt phố - Mặt đường,5m,Tây Nam,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Chơn Thành, Tỉnh Bình Phước","2,672 m²",Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 66.67 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",45 m²,Ngõ 1 ô tô,4.2m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.6 Tỷ - 111.86 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",59 m²,Ngõ ô tô đỗ cửa,4m,---,Nhà môi giới,Nhà ở,---,4,5,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
7.1 Tỷ - 154.35 Triệu/m²,"Quận Phú Nhuận, Thành phố Hồ Chí Minh",46 m²,Ngõ ô tô đỗ cửa,4.2m,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1 Tỷ - 1.5 Triệu/m²,"Huyện Bát Xát, Tỉnh Lào Cai",668 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
900 Triệu - 9 Triệu/m²,"Huyện Tư Nghĩa, Tỉnh Quảng Ngãi",100 m²,Ngõ 2 ô tô tránh,---,---,Chủ đầu tư,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.3 Tỷ - 23.96 Triệu/m²,"Huyện Mê Linh, Thành phố Hà Nội",96 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Long Thành, Tỉnh Đồng Nai",100 m²,Ngõ ô tô đỗ cửa,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
859 Triệu - 851.24 Nghìn/m²,"Thành phố Đồng Xoài, Tỉnh Bình Phước","1,009.1 m²",Ngõ 2 ô tô tránh,34m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.2 Tỷ - 34.38 Triệu/m²,"Quận Bình Thủy, Thành phố Cần Thơ",64 m²,Ngõ ngách,4m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.8 Tỷ - 3 Triệu/m²,"Huyện Bát Xát, Tỉnh Lào Cai",600 m²,Ngõ 2 ô tô tránh,40m,---,Nhà môi giới,Dự án BĐS - Khu nghỉ dưỡng - Resort,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
15 Tỷ - 50 Triệu/m²,"Thành phố Đà Lạt, Tỉnh Lâm Đồng",300 m²,Mặt phố - Mặt đường,12m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.2 Tỷ - 42 Triệu/m²,"Huyện Hoài Đức, Thành phố Hà Nội",100 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Biệt thự - Song lập - Đơn lập, Nhà liền kề - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.9 Tỷ - 105.36 Triệu/m²,"Quận Tân Bình, Thành phố Hồ Chí Minh",56 m²,Ngõ ô tô đỗ cửa,---,---,Chính chủ,Nhà ở,---,---,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
600 Triệu - 1 Triệu/m²,"Huyện Bát Xát, Tỉnh Lào Cai",600 m²,Ngõ ngách,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.2 Tỷ - 123.53 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",34 m²,---,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 28.78 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",139 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
570 Triệu - 79.17 Nghìn/m²,"Huyện Chơn Thành, Tỉnh Bình Phước","7,200 m²",Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.14 Tỷ - 19 Triệu/m²,"Huyện Đông Anh, Thành phố Hà Nội",60 m²,---,4m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2 Tỷ - 19.65 Triệu/m²,"Thị xã Dĩ An, Tỉnh Bình Dương",101.8 m²,Ngõ ô tô đỗ cửa,5m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
20 Tỷ - 129.03 Triệu/m²,"Quận 11, Thành phố Hồ Chí Minh",155 m²,Ngõ 4 ô tô tránh,7.2m,---,Khách vãng lai,Nhà ở,---,---,---,---
4 Tỷ - 28.78 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",139 m²,---,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.69 Tỷ - 5.63 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",300 m²,Mặt phố - Mặt đường,25m,Đông Tứ Trạch,Chính chủ,"Nhà ở, Nhà cấp 4, Phòng trọ/ Nhà trọ",---,---,14,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 67.8 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",59 m²,Ngõ ngách,1.3m,---,Nhà môi giới,Nhà ở,---,3,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.9 Tỷ - 29.59 Triệu/m²,"Huyện Củ Chi, Thành phố Hồ Chí Minh",98 m²,Mặt phố - Mặt đường,5m,Đông Nam,Nhà môi giới,"Nhà ở, Mặt bằng thương mại",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
13 Tỷ - 142.86 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",91 m²,Mặt phố - Mặt đường,6.5m,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất",---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.3 Tỷ - 36.67 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",90 m²,Ngõ ô tô đỗ cửa,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.7 Tỷ - 21.25 Triệu/m²,"Huyện Bình Chánh, Thành phố Hồ Chí Minh",80 m²,Mặt phố - Mặt đường,4m,---,Nhà môi giới,Nhà ở,1,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.8 Tỷ - 106.67 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",45 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,---,7,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
28.2 Tỷ - 213.64 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",132 m²,Mặt phố - Mặt đường,8.6m,---,Nhà môi giới,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Bát Xát, Tỉnh Lào Cai",500 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.15 Tỷ - 61.43 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",35 m²,Ngõ ô tô đỗ cửa,3.5m,Đông Nam,Chính chủ,"Nhà ở, Bất động sản khác",---,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
490 Triệu - 4.9 Triệu/m²,"Thị xã Điện Bàn, Tỉnh Quảng Nam",100 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.89 Tỷ - 18.9 Triệu/m²,"Thị xã Điện Bàn, Tỉnh Quảng Nam",100 m²,Ngõ 2 ô tô tránh,5m,Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.38 Tỷ - 17.25 Triệu/m²,"Huyện Bến Lức, Tỉnh Long An",80 m²,Mặt phố - Mặt đường,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
13 Tỷ - 142.86 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",91 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,3,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Đồng Phú, Tỉnh Bình Phước",400 m²,Ngõ 1 ô tô,10m,Tây Bắc,Khách vãng lai,Đất - Đất nền - Nhà như đất,---,---,---,"Giấy CN QSDĐ - Sổ đỏ - Sổ hồng, Hợp đồng mua bán, Giấy tờ chứng minh nguồn gốc"
850 Triệu - 2.83 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",300 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.1 Tỷ - 70 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",30 m²,Ngõ ngách,4.5m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.3 Tỷ - 87.5 Triệu/m²,"Quận Nam Từ Liêm, Thành phố Hà Nội",72 m²,Ngõ ngách,5m,---,Nhà môi giới,Nhà ở,---,3,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 26.09 Triệu/m²,"Thị xã Điện Bàn, Tỉnh Quảng Nam",115 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Chơn Thành, Tỉnh Bình Phước",225 m²,Ngõ ô tô đỗ cửa,5m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Quận Hoàng Mai, Thành phố Hà Nội",48 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Chung cư,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
8.6 Tỷ - 107.5 Triệu/m²,"Quận 7, Thành phố Hồ Chí Minh",80 m²,Ngõ ô tô đỗ cửa,4m,Đông Nam,Nhà môi giới,Nhà ở,---,---,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.9 Tỷ - 138 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",50 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.9 Tỷ - 138 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",50 m²,Ngõ 2 ô tô tránh,---,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Bát Xát, Tỉnh Lào Cai",600 m²,Ngõ 2 ô tô tránh,40m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
670 Triệu - 6.63 Triệu/m²,"Thành phố Thanh Hóa, Tỉnh Thanh Hóa",101 m²,Ngõ 1 ô tô,5m,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 111.11 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",45 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,4,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3 Tỷ - 66.67 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",45 m²,Ngõ ô tô đỗ cửa,3.5m,---,Chính chủ,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
12 Tỷ - 75 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",160 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
12 Tỷ - 74.99 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",160 m²,Mặt phố - Mặt đường,9m,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Bát Xát, Tỉnh Lào Cai","1,400 m²",Mặt phố - Mặt đường,40m,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất",---,---,---,---
216 Triệu - 6 Triệu/m²,"Huyện Châu Thành A, Tỉnh Hậu Giang",36 m²,Mặt phố - Mặt đường,---,---,Sàn bất động sản,Chung cư,---,---,---,---
650 Triệu - 2.6 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",250 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
370 Triệu - 1.12 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",330 m²,Ngõ ô tô đỗ cửa,5m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
16 Tỷ - 94.12 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",170 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.4 Tỷ - 9.33 Triệu/m²,"Thị xã Bến Cát, Tỉnh Bình Dương",150 m²,Mặt phố - Mặt đường,5m,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.7 Tỷ - 117.5 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",40 m²,Ngõ 1 ô tô,4m,---,Nhà môi giới,Nhà ở,---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
16 Tỷ - 94.12 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",170 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Quận Bắc Từ Liêm, Thành phố Hà Nội",139 m²,---,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Bát Xát, Tỉnh Lào Cai","2,500 m²",Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất",---,---,---,---
Thương lượng,"Huyện Đức Trọng, Tỉnh Lâm Đồng","1,232 m²",Mặt phố - Mặt đường,14m,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
Thương lượng,"Quận Hai Bà Trưng, Thành phố Hà Nội",110 m²,Mặt phố - Mặt đường,7.8m,---,Nhà môi giới,"Biệt thự du lịch, văn phòng - Officetel, Shophouse - Nhà phố, Toà nhà văn phòng",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.7 Tỷ - 5.67 Triệu/m²,"Thị xã Tân Uyên, Tỉnh Bình Dương",300 m²,Mặt phố - Mặt đường,25m,Đông Tứ Trạch,Chính chủ,"Nhà ở, Nhà cấp 4, Phòng trọ/ Nhà trọ",---,---,16,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
6.5 Tỷ - 144.44 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",45 m²,Ngõ ngách,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 47.06 Triệu/m²,"Huyện Bến Lức, Tỉnh Long An",85 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Nhà ở,---,---,---,---
12.5 Tỷ - 312.5 Triệu/m²,"Quận Hai Bà Trưng, Thành phố Hà Nội",40 m²,Ngõ 2 ô tô tránh,4m,---,Nhà môi giới,Nhà ở,---,---,1,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
3.4 Tỷ - 136 Triệu/m²,"Quận Tân Bình, Thành phố Hồ Chí Minh",25 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,---,---
570 Triệu - 2.15 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",265 m²,Mặt phố - Mặt đường,---,---,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Đức Trọng, Tỉnh Lâm Đồng",680 m²,Mặt phố - Mặt đường,10m,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
18 Tỷ - 100 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",180 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.7 Tỷ - 2.37 Triệu/m²,"Huyện Đức Trọng, Tỉnh Lâm Đồng","1,980 m²",Ngõ 1 ô tô,33m,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
25 Tỷ - 83.33 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",300 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất, Biệt thự - Song lập - Đơn lập",---,---,4,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.7 Tỷ - 67.5 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",40 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5.6 Tỷ - 102.94 Triệu/m²,"Quận Đống Đa, Thành phố Hà Nội",54.4 m²,Ngõ ô tô đỗ cửa,8m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
31 Tỷ - 206.67 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",150 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Nhà liền kề - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 29.63 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",135 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.7 Tỷ - 90 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",30 m²,Ngõ 1 ô tô,3.8m,---,Nhà môi giới,Nhà ở,---,4,3,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
14.8 Tỷ - 132.14 Triệu/m²,"Quận Long Biên, Thành phố Hà Nội",112 m²,Ngõ 2 ô tô tránh,4.5m,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.2 Tỷ - 8 Triệu/m²,"Huyện Đức Trọng, Tỉnh Lâm Đồng",275 m²,Ngõ 1 ô tô,11m,Tây Bắc,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,---
12.5 Tỷ - 108.7 Triệu/m²,"Quận Ngũ Hành Sơn, Thành phố Đà Nẵng",115 m²,Mặt phố - Mặt đường,5m,Tây Nam,Nhà môi giới,Nhà ở,---,---,5,---
2.55 Tỷ - 10 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",255 m²,Ngõ ô tô đỗ cửa,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.8 Tỷ - 120 Triệu/m²,"Quận Ba Đình, Thành phố Hà Nội",40 m²,Ngõ 1 ô tô,---,---,Nhà môi giới,Nhà ở,---,---,7,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Quận Nam Từ Liêm, Thành phố Hà Nội",300 m²,Ngõ ngách,10m,Đông Nam,Chính chủ,Đất - Đất nền - Nhà như đất,---,---,---,---
3.8 Tỷ - 76 Triệu/m²,"Quận Cầu Giấy, Thành phố Hà Nội",50 m²,Ngõ ngách,4m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
27.5 Tỷ - 164.67 Triệu/m²,"Quận Hà Đông, Thành phố Hà Nội",167 m²,Mặt phố - Mặt đường,20m,---,Nhà môi giới,Biệt thự - Song lập - Đơn lập,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
9.5 Tỷ - 175.93 Triệu/m²,"Quận Tây Hồ, Thành phố Hà Nội",54 m²,Ngõ 2 ô tô tránh,7.3m,---,Nhà môi giới,Nhà ở,---,5,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
Thương lượng,"Huyện Cô Tô, Tỉnh Quảng Ninh",355 m²,Ngõ 2 ô tô tránh,9.5m,---,Nhà môi giới,"Nhà ở, Đất - Đất nền - Nhà như đất",---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4 Tỷ - 29.63 Triệu/m²,"Quận Bắc Từ Liêm, Thành phố Hà Nội",135 m²,Ngõ 2 ô tô tránh,---,---,Nhà môi giới,Chung cư,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
600 Triệu - 11.06 Triệu/m²,"Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",54.3 m²,Mặt phố - Mặt đường,21m,"Đông Nam, Tây Nam",Chính chủ,Chung cư,19,1,1,Hợp đồng mua bán
1.65 Tỷ - 10 Triệu/m²,"Huyện Đồng Phú, Tỉnh Bình Phước",165 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.2 Tỷ - 12 Triệu/m²,"Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
1.2 Tỷ - 12 Triệu/m²,"Huyện Hàm Thuận Bắc, Tỉnh Bình Thuận",100 m²,Mặt phố - Mặt đường,---,---,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
2.95 Tỷ - 98.33 Triệu/m²,"Quận Thanh Xuân, Thành phố Hà Nội",30 m²,Ngõ ngách,3.5m,---,Nhà môi giới,Nhà ở,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
5 Tỷ - 100 Triệu/m²,"Quận Hoàng Mai, Thành phố Hà Nội",50 m²,Ngõ 2 ô tô tránh,6.5m,---,Nhà môi giới,Nhà ở,---,---,6,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.3 Tỷ - 33.79 Triệu/m²,"Thành phố Đà Lạt, Tỉnh Lâm Đồng",127.3 m²,Ngõ 1 ô tô,5.1m,Tây Nam,Nhà môi giới,Đất - Đất nền - Nhà như đất,---,---,---,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
4.05 Tỷ - 81 Triệu/m²,"Quận Gò Vấp, Thành phố Hồ Chí Minh",50 m²,Ngõ 1 ô tô,4m,Đông Nam,Nhà môi giới,Nhà ở,2,2,2,Giấy CN QSDĐ - Sổ đỏ - Sổ hồng
